Number,Concept,Description,Described In,Figure,Definition,sentence,kw_bert,Synonyms
11.1,Plan Risk Management,"
the process of defining how to conduct risk management activities for a project.",,,the process of define how to conduct risk management activity for a project .,['the process of define how to conduct risk management activity for a project .'],"['risk management activity', 'conduct risk management', 'risk management', 'management activity project', 'define conduct risk']","['peril direction natural action', 'take a chance management natural process', 'risk of exposure management action', 'hazard direction bodily function', 'lay on the line direction bodily function', 'risk of exposure management activity', 'bear danger management', 'lead hazard direction', 'acquit risk direction', 'deport peril management', 'deportment jeopardy management', 'transmit take a chance management', 'jeopardy management', 'gamble direction', 'lay on the line management', 'take chances management', 'risk of exposure direction', 'endangerment direction', 'management bodily function task', 'management action undertaking', 'management activeness jut', 'direction action visualize', 'management body process labor', 'direction body process design', 'delimitate take chance', 'delineate channel take a chance', 'delineate deal run a risk', 'delimit demeanour risk of infection', 'define impart risk of exposure', 'define deport take chances']"
11.2,Identify Risks,"
the process of identifying individual project risks as well as sources of overall project risk,
and documenting their characteristics.",,,"the process of identify individual project risk as well as source of overall project risk , and document their characteristic .","['the process of identify individual project risk as well as source of overall project risk , and document their characteristic .']","['project risk', 'project risk document', 'project risk source', 'overall project risk', 'individual project risk']","['figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'propose hazard papers', 'visualise adventure document', 'fancy danger document', 'jut out run a risk text file', 'jut out chance document', 'design take a chance papers', 'projection jeopardy author', 'send off risk author', 'propose lay on the line informant', 'contrive risk origin', 'cast put on the line reservoir', 'picture adventure seed', 'overall undertaking take chances', 'overall image risk of infection', 'overall projection hazard', 'boilersuit propose chance', 'overall picture risk of infection', 'boilersuit picture endangerment', 'somebody figure take chances', 'item-by-item plan endangerment', 'private envision take chances', 'mortal stick out lay on the line', 'somebody labor risk of exposure', 'person projection risk of infection']"
11.3,Perform Qualitative Risk Analysis,"
the process of prioritizing individual project risks for further analysis
or action by assessing their probability of occurrence and impact as well as other characteristics:",,,the process of prioritize individual project risk for further analysisor action by assess their probability of occurrence and impact as well as other characteristic,['the process of prioritize individual project risk for further analysisor action by assess their probability of occurrence and impact as well as other characteristic'],"['project risk analysisor', 'project risk', 'individual project risk', 'prioritize individual project', 'process prioritize individual']","['figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'somebody figure take chances', 'item-by-item plan endangerment', 'private envision take chances', 'mortal stick out lay on the line', 'somebody labor risk of exposure', 'person projection risk of infection', 'prioritize person externalise', 'prioritise someone project', 'prioritize single visualise', 'prioritise item-by-item externalize', 'prioritize item-by-item protrude', 'prioritize private stick out', 'physical process prioritise individual', 'sue prioritize soul', 'cognitive operation prioritise single', 'mental process prioritise soul', 'litigate prioritize individual', 'cognitive operation prioritize person']"
11.4,Perform Quantitative Risk Analysis,"
the process ofnumerically analyzing the combined effect of identified
individual project risks and other sources of uncertainty on overall project objectives",,,the process ofnumerically analyze the combine effect of identifiedindividual project risk and other source of uncertainty on overall project objective,['the process ofnumerically analyze the combine effect of identifiedindividual project risk and other source of uncertainty on overall project objective'],"['identifiedindividual project risk', 'project risk', 'uncertainty overall project', 'project risk source', 'risk source uncertainty']","['figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'uncertainness overall undertaking', 'doubt overall labor', 'incertitude overall send off', 'doubt boilersuit jut out', 'uncertainty overall cast', 'dubiety boilers suit plan', 'projection jeopardy author', 'send off risk author', 'propose lay on the line informant', 'contrive risk origin', 'cast put on the line reservoir', 'picture adventure seed', 'jeopardy informant precariousness', 'lay on the line origin incertitude', 'chance author incertitude', 'gamble germ incertitude', 'take a chance reservoir dubiety', 'jeopardy source uncertainness']"
11.5,Plan Risk Responses,"
the process of developing options, selecting strategies, and agreeing on actions to
address overall project risk exposure; as well as to treat individual project risks",,,"the process of develop option , select strategy , and agree on action toaddress overall project risk exposure as well as to treat individual project risk","['the process of develop option , select strategy , and agree on action toaddress overall project risk exposure as well as to treat individual project risk']","['project risk exposure', 'project risk', 'overall project risk', 'individual project risk', 'process develop option']","['externalize take chances pic', 'externalise take chances photo', 'figure lay on the line pic', 'task hazard photo', 'externalize endangerment photo', 'propose take chances vulnerability', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'overall undertaking take chances', 'overall image risk of infection', 'overall projection hazard', 'boilersuit propose chance', 'overall picture risk of infection', 'boilersuit picture endangerment', 'somebody figure take chances', 'item-by-item plan endangerment', 'private envision take chances', 'mortal stick out lay on the line', 'somebody labor risk of exposure', 'person projection risk of infection', 'process originate option', 'physical process prepare choice', 'unconscious process rise pick', 'operation produce option', 'summons explicate pick', 'sue educate option']"
11.6,Implement Risk ,"
responsesthe process of implementing agreed-upon risk response plans:",,,responsesthe process of implement agreedupon risk response plan,['responsesthe process of implement agreedupon risk response plan'],"['risk response plan', 'response plan', 'risk response', 'agreedupon risk response', 'responsesthe process implement']","['endangerment reception contrive', 'peril reply architectural plan', 'take chances reply architectural plan', 'gamble reaction programme', 'peril reaction project', 'chance response design', 'answer plan', 'reaction programme', 'answer be after', 'reply program', 'response program', 'reception be after', 'lay on the line response', 'gamble reply', 'chance reception', 'risk reaction', 'take a chance response', 'take chances answer']"
11.7,Monitor Risks,"
the process of monitoring the implementation of agreed-upon risk response plans;
tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout
the project:
figure 11-1 provides an overview of the project risk management processes. the project management risk processes
are presented as discrete processes with defined interfaces while, in practice, they overlap and interact in ways that
cannot be completely detailed in this pmboke guide.
395
ction:
epi
fo""
not
key concepts for project risk management
ail projects are risky since they are unique undertakings with varying degrees of complexity that aim to deliver
benefits they do this in a context of constraints and assumptions, while responding to stakeholder expectations that
may be conflicting and changing: organizations should choose to take project risk in a controlled and intentional manner
in order to create value while balancing risk and reward.
project risk management aims to identify and manage risks that are not addressed by the other project management
processes. when unmanaged; these risks have the potential to cause the project to deviate from the plan and fail to
achieve the defined project objectives. consequently; the effectiveness of project risk management is directly related
to project success:
risk exists at two levels within every project each project contains individual risks that can affect the achievement of
project objectives. it is also important to consider the riskiness of the overall project; which arises from the combination
of individual project risks and other sources of uncertainty: project risk management processes address both levels of
risk in projects, and these are defined as follows:
individual project risk is an uncertain event or condition that; if it occurs, has a positive or negative effect on
one or more project objectives:
overall project risk is the effect of uncertainty on the project as a whole, arising from all sources of uncertainty
including individual risks, representing the exposure of stakeholders to the implications of variations in project
outcome; both positive and negative.
individual project risks can have a positive or negative effect on project objectives if
occur: project risk
management aims to exploit or enhance positive risks (opportunities) while avoiding or mitigating negative risks
(threats) . unmanaged threats may result in issues or problems such as delay; cost overruns, performance shortfall,
or loss of reputation: opportunities that are captured can lead to benefits such as reduced time and cost, improved
performance, or reputation.
overall project risk can also be positive or negative. management of overall project risk aims to keep project risk
exposure within an acceptable range by reducing drivers of negative variation, promoting drivers of positive variation,
and maximizing the probability of achieving overall project objectives.
397
they
distr
for
not
risks will continue to emerge during the lifetime of the project; so project risk management processes should be conducted
iteratively. risk is initially addressed during project planning by shaping the project strategy. risk should also be monitored and
managed as the project progresses to ensure that the project
on track and emergent risks are addressed.
in order to manage risk effectively on a particular project; the project team needs to know what level of risk exposure
is acceptable in pursuit of the project objectives. this is defined by measurable risk thresholds that reflect the risk
appetite of the organization and project stakeholders risk thresholds express the degree of acceptable variation around
a
project objective
are explicitly stated and communicated to the project team and reflected in the definitions of
risk impact levels for the project:
trends and emerging practices in project risk management
the focus of project risk management is broadening to ensure that all types of risk are considered, and that project
risks are understood in a wider context: trends and emerging practices for project risk management include but are
not limited to:
non-event risks. most projects focus only on risks that are uncertain future events that may or may not occur:
examples of event-based risks include: a key seller may go out of business during the project; the customer may
change the requirement after design is complete, or a subcontractor
propose enhancements to the standard
operating processes.
there is an increasing recognition that non-event risks need to be identified and managed: there are two main
types of non-event risks:
variability risk: uncertainty exists about some key characteristics of a planned event or activity or decision.
examples of variability risks include: productivity may be above or below target; the number of errors found
during testing may be higher or lower than expected, or unseasonal weather conditions may occur during the
construction phase
ambiguity risk uncertainty exists about what might happen in the future. areas of the project where
imperfect knowledge might affect the project's ability to achieve its objectives include: elements of the
requirement or technical solution; future developments in regulatory frameworks, or inherent systemic
complexity in the project:
398
part 1
guide
stays '
they
duc
may
dist""
for
not
variability risks can be addressed using monte carlo analysis, with the range of variation reflected in probability
distributions, followed by actions to reduce the spread of possible outcomes. ambiguity risks are managed by
defining those areas where there is a deficit of knowledge or understanding; then filling the gap by obtaining
expert external input or benchmarking against best practices. ambiguity is also addressed through incremental
development; prototyping; or simulation.
project resilience: the existence of emergent risk is becoming clear; with a growing awareness of so-called
unknowable-unknowns. these are risks that can only be recognized after
have occurred. emergent risks
can be tackled through developing project resilience. this requires each project to have:
right level of budget and schedule contingency for emergent risks, in addition to a specific risk budget for
known risks;
flexible project processes that can cope with emergent risk while maintaining overall direction toward project
goals, including strong change management;
empowered project team that has clear objectives and that is trusted to get the job done within agreed-
upon limits;
frequent review of early warning signs to identify emergent risks as early as possible; and
clear input from stakeholders to clarify areas where the project scope or strategy can be adjusted in response
to emergent risks
integrated risk management. projects exist in an organizational context; and they may form part of a program
or
portfolio. risk exists at each of these levels, and risks should be owned and managed at the appropriate level.
some risks identified at higher levels will be delegated to the project team for management; and some project
risks may be escalated to higher levels if they are best managed outside the project. a coordinated approach to
enterprise-wide risk management ensures alignment and coherence in the way risk is managed across all levels:
this builds risk efficiency into the structure of programs and portfolios, providing the greatest overall value for a
given level of risk exposure
399
they
distributic
for
not
tailoring considerations
because each project is unique, it is necessary to tailor the way project risk management processes are applied:
considerations for tailoring include but are not limited to:
project size. does the projects size in terms of budget; duration, scope, or team size require a more detailed
approach to risk management? or is it small enough to justify a simplified risk process?
project complexity: is a robustrisk approach demanded by high levels of innovation; new technology, commercial
arrangements, interfaces, or external dependencies that increase project complexity? or is the project simple
enough that a reduced risk process will suffice?
project importance: how strategically important is the project? is the level of risk increased for this project
because
it
aims   to produce   breakthrough  opportunities,  addresses  significant   blocks  to organizational
performance, or involves major product innovation?
development approach: is this
a
waterfall project; where risk processes can be followed sequentially and
iteratively, or does the project follow an agile approach where risk is addressed at the start of each iteration as
well as during its execution?
tailoring of the project risk management processes to meet these considerations is part of the plan risk management
process; and the outcomes of tailoring decisions are recorded in the risk management plan:
considerations for agileiadaptive environments
high-variability environments; by definition; incur more uncertainty and risk to address this, projects managed using
adaptive approaches make use of frequent reviews of incremental work products and cross-functional project teams to
accelerate knowledge sharing and ensure that risk is understood and managed: risk is considered when selecting the
content of each iteration, and risks will also be identified, analyzed, and managed during each iteration.
additionally; the requirements are kept as a living document that is updated regularly; and work may be reprioritized
as the project progresses, based on an improved understanding of current risk exposure
400
part 1
guide
distril
for
not",,PMBOOKimgs/figure11-1.png,"the process of monitor the implementation of agreedupon risk response planstracke identify risk , identify and analyze new risk , and evaluate risk process effectiveness throughoutthe projectfigure 111 provide an overview of the project risk management process . the project management risk processesare present as discrete process with define interface while , in practice , they overlap and interact in way thatcannot be completely detailed in this pmboke guide.395ctionepifonotkey concept for project risk managementail project be risky since they be unique undertaking with vary degree of complexity that aim to deliverbenefit they do this in a context of constraint and assumption , while respond to stakeholder expectation thatmay be conflict and change organization should choose to take project risk in a control and intentional mannerin order to create value while balance risk and reward.project risk management aim to identify and manage risk that be not address by the other project managementprocesse . when unmanage these risk have the potential to cause the project to deviate from the plan and fail toachieve the define project objective . consequently the effectiveness of project risk management be directly relatedto project successrisk exist at two level within every project each project contain individual risk that can affect the achievement ofproject objective . it be also important to consider the riskiness of the overall project which arise from the combinationof individual project risk and other source of uncertainty project risk management process address both level ofrisk in project , and these be define as followsindividual project risk be an uncertain event or condition that if it occur , have a positive or negative effect onone or more project objectivesoverall project risk be the effect of uncertainty on the project as a whole , arise from all source of uncertaintyinclude individual risk , represent the exposure of stakeholder to the implication of variation in projectoutcome both positive and negative.individual project risk can have a positive or negative effect on project objective ifoccur project riskmanagement aim to exploit or enhance positive risk opportunity while avoid or mitigate negative risksthreat . unmanaged threat may result in issue or problem such as delay cost overrun , performance shortfall , or loss of reputation opportunity that be capture can lead to benefit such as reduce time and cost , improvedperformance , or reputation.overall project risk can also be positive or negative . management of overall project risk aim to keep project riskexposure within an acceptable range by reduce driver of negative variation , promote driver of positive variation , and maximize the probability of achieve overall project objectives.397theydistrfornotrisk will continue to emerge during the lifetime of the project so project risk management process should be conductediteratively . risk be initially address during project planning by shape the project strategy . risk should also be monitor andmanage as the project progress to ensure that the projecton track and emergent risk be addressed.in order to manage risk effectively on a particular project the project team need to know what level of risk exposureis acceptable in pursuit of the project objective . this be define by measurable risk threshold that reflect the riskappetite of the organization and project stakeholder risk threshold express the degree of acceptable variation aroundaproject objectiveare explicitly state and communicate to the project team and reflect in the definition ofrisk impact level for the projecttrend and emerge practice in project risk managementthe focus of project risk management be broaden to ensure that all type of risk be consider , and that projectrisk be understand in a wide context trend and emerge practice for project risk management include but arenot limited tononevent risk . most project focus only on risk that be uncertain future event that may or may not occurexample of eventbase risk include a key seller may go out of business during the project the customer maychange the requirement after design be complete , or a subcontractorpropose enhancement to the standardoperating processes.there be an increase recognition that nonevent risk need to be identify and manage there be two maintype of nonevent risksvariability risk uncertainty exist about some key characteristic of a plan event or activity or decision.example of variability risk include productivity may be above or below target the number of error founddure testing may be high or low than expect , or unseasonal weather condition may occur during theconstruction phaseambiguity risk uncertainty exist about what might happen in the future . area of the project whereimperfect knowledge might affect the project ability to achieve its objective include element of therequirement or technical solution future development in regulatory framework , or inherent systemiccomplexity in the project398part 1guidestays theyducmaydistfornotvariability risk can be address use monte carlo analysis , with the range of variation reflect in probabilitydistribution , follow by action to reduce the spread of possible outcome . ambiguity risk be manage bydefine those area where there be a deficit of knowledge or understanding then fill the gap by obtainingexpert external input or benchmarke against good practice . ambiguity be also address through incrementaldevelopment prototyping or simulation.project resilience the existence of emergent risk be become clear with a grow awareness of socalledunknowableunknown . these be risk that can only be recognize afterhave occur . emergent riskscan be tackle through develop project resilience . this require each project to haveright level of budget and schedule contingency for emergent risk , in addition to a specific risk budget forknown risksflexible project process that can cope with emergent risk while maintain overall direction toward projectgoal , include strong change managementempowered project team that have clear objective and that be trust to get the job do within agreedupon limitsfrequent review of early warning sign to identify emergent risk as early as possible andclear input from stakeholder to clarify area where the project scope or strategy can be adjust in responseto emergent risksintegrate risk management . project exist in an organizational context and they may form part of a programorportfolio . risk exist at each of these level , and risk should be own and manage at the appropriate level.some risk identify at high level will be delegate to the project team for management and some projectrisk may be escalate to high level if they be well manage outside the project . a coordinated approach toenterprisewide risk management ensure alignment and coherence in the way risk be manage across all levelsthis build risk efficiency into the structure of program and portfolio , provide the great overall value for agiven level of risk exposure399theydistributicfornottailoring considerationsbecause each project be unique , it be necessary to tailor the way project risk management process be appliedconsideration for tailoring include but be not limit toproject size . do the project size in term of budget duration , scope , or team size require a more detailedapproach to risk management ? or be it small enough to justify a simplify risk process?project complexity be a robustrisk approach demand by high level of innovation new technology , commercialarrangement , interface , or external dependency that increase project complexity ? or be the project simpleenough that a reduce risk process will suffice?project importance how strategically important be the project ? be the level of risk increase for this projectbecauseitaim to produce breakthrough opportunity , address significant block to organizationalperformance , or involve major product innovation?development approach be thisawaterfall project where risk process can be follow sequentially anditeratively , or do the project follow an agile approach where risk be address at the start of each iteration aswell as during its execution?tailoring of the project risk management process to meet these consideration be part of the plan risk managementprocess and the outcome of tailor decision be record in the risk management planconsideration for agileiadaptive environmentshighvariability environment by definition incur more uncertainty and risk to address this , project manage usingadaptive approach make use of frequent review of incremental work product and crossfunctional project team toaccelerate knowledge sharing and ensure that risk be understand and manage risk be consider when select thecontent of each iteration , and risk will also be identify , analyze , and manage during each iteration.additionally the requirement be keep as a live document that be update regularly and work may be reprioritizedas the project progress , base on an improved understanding of current risk exposure400part 1guidedistrilfornot","['the process of monitor the implementation of agreedupon risk response planstracke identify risk , identify and analyze new risk , and evaluate risk process effectiveness throughoutthe projectfigure 111 provide an overview of the project risk management process .', 'the project management risk processesare present as discrete process with define interface while , in practice , they overlap and interact in way thatcannot be completely detailed in this pmboke guide.395ctionepifonotkey concept for project risk managementail project be risky since they be unique undertaking with vary degree of complexity that aim to deliverbenefit they do this in a context of constraint and assumption , while respond to stakeholder expectation thatmay be conflict and change organization should choose to take project risk in a control and intentional mannerin order to create value while balance risk and reward.project risk management aim to identify and manage risk that be not address by the other project managementprocesse .', 'when unmanage these risk have the potential to cause the project to deviate from the plan and fail toachieve the define project objective .', 'consequently the effectiveness of project risk management be directly relatedto project successrisk exist at two level within every project each project contain individual risk that can affect the achievement ofproject objective .', 'it be also important to consider the riskiness of the overall project which arise from the combinationof individual project risk and other source of uncertainty project risk management process address both level ofrisk in project , and these be define as followsindividual project risk be an uncertain event or condition that if it occur , have a positive or negative effect onone or more project objectivesoverall project risk be the effect of uncertainty on the project as a whole , arise from all source of uncertaintyinclude individual risk , represent the exposure of stakeholder to the implication of variation in projectoutcome both positive and negative.individual project risk can have a positive or negative effect on project objective ifoccur project riskmanagement aim to exploit or enhance positive risk opportunity while avoid or mitigate negative risksthreat .', 'unmanaged threat may result in issue or problem such as delay cost overrun , performance shortfall , or loss of reputation opportunity that be capture can lead to benefit such as reduce time and cost , improvedperformance , or reputation.overall project risk can also be positive or negative .', 'management of overall project risk aim to keep project riskexposure within an acceptable range by reduce driver of negative variation , promote driver of positive variation , and maximize the probability of achieve overall project objectives.397theydistrfornotrisk will continue to emerge during the lifetime of the project so project risk management process should be conductediteratively .', 'risk be initially address during project planning by shape the project strategy .', 'risk should also be monitor andmanage as the project progress to ensure that the projecton track and emergent risk be addressed.in order to manage risk effectively on a particular project the project team need to know what level of risk exposureis acceptable in pursuit of the project objective .', 'this be define by measurable risk threshold that reflect the riskappetite of the organization and project stakeholder risk threshold express the degree of acceptable variation aroundaproject objectiveare explicitly state and communicate to the project team and reflect in the definition ofrisk impact level for the projecttrend and emerge practice in project risk managementthe focus of project risk management be broaden to ensure that all type of risk be consider , and that projectrisk be understand in a wide context trend and emerge practice for project risk management include but arenot limited tononevent risk .', 'most project focus only on risk that be uncertain future event that may or may not occurexample of eventbase risk include a key seller may go out of business during the project the customer maychange the requirement after design be complete , or a subcontractorpropose enhancement to the standardoperating processes.there be an increase recognition that nonevent risk need to be identify and manage there be two maintype of nonevent risksvariability risk uncertainty exist about some key characteristic of a plan event or activity or decision.example of variability risk include productivity may be above or below target the number of error founddure testing may be high or low than expect , or unseasonal weather condition may occur during theconstruction phaseambiguity risk uncertainty exist about what might happen in the future .', 'area of the project whereimperfect knowledge might affect the project ability to achieve its objective include element of therequirement or technical solution future development in regulatory framework , or inherent systemiccomplexity in the project398part 1guidestays theyducmaydistfornotvariability risk can be address use monte carlo analysis , with the range of variation reflect in probabilitydistribution , follow by action to reduce the spread of possible outcome .', 'ambiguity risk be manage bydefine those area where there be a deficit of knowledge or understanding then fill the gap by obtainingexpert external input or benchmarke against good practice .', 'ambiguity be also address through incrementaldevelopment prototyping or simulation.project resilience the existence of emergent risk be become clear with a grow awareness of socalledunknowableunknown .', 'these be risk that can only be recognize afterhave occur .', 'emergent riskscan be tackle through develop project resilience .', 'this require each project to haveright level of budget and schedule contingency for emergent risk , in addition to a specific risk budget forknown risksflexible project process that can cope with emergent risk while maintain overall direction toward projectgoal , include strong change managementempowered project team that have clear objective and that be trust to get the job do within agreedupon limitsfrequent review of early warning sign to identify emergent risk as early as possible andclear input from stakeholder to clarify area where the project scope or strategy can be adjust in responseto emergent risksintegrate risk management .', 'project exist in an organizational context and they may form part of a programorportfolio .', 'risk exist at each of these level , and risk should be own and manage at the appropriate level.some risk identify at high level will be delegate to the project team for management and some projectrisk may be escalate to high level if they be well manage outside the project .', 'a coordinated approach toenterprisewide risk management ensure alignment and coherence in the way risk be manage across all levelsthis build risk efficiency into the structure of program and portfolio , provide the great overall value for agiven level of risk exposure399theydistributicfornottailoring considerationsbecause each project be unique , it be necessary to tailor the way project risk management process be appliedconsideration for tailoring include but be not limit toproject size .', 'do the project size in term of budget duration , scope , or team size require a more detailedapproach to risk management ?', 'or be it small enough to justify a simplify risk process?project complexity be a robustrisk approach demand by high level of innovation new technology , commercialarrangement , interface , or external dependency that increase project complexity ?', 'or be the project simpleenough that a reduce risk process will suffice?project importance how strategically important be the project ?', 'be the level of risk increase for this projectbecauseitaim to produce breakthrough opportunity , address significant block to organizationalperformance , or involve major product innovation?development approach be thisawaterfall project where risk process can be follow sequentially anditeratively , or do the project follow an agile approach where risk be address at the start of each iteration aswell as during its execution?tailoring of the project risk management process to meet these consideration be part of the plan risk managementprocess and the outcome of tailor decision be record in the risk management planconsideration for agileiadaptive environmentshighvariability environment by definition incur more uncertainty and risk to address this , project manage usingadaptive approach make use of frequent review of incremental work product and crossfunctional project team toaccelerate knowledge sharing and ensure that risk be understand and manage risk be consider when select thecontent of each iteration , and risk will also be identify , analyze , and manage during each iteration.additionally the requirement be keep as a live document that be update regularly and work may be reprioritizedas the project progress , base on an improved understanding of current risk exposure400part 1guidedistrilfornot']","['project risk process', 'project risk management', 'project riskmanagement', 'project risk control', 'project risk managementthe']","['cast danger summons', 'propose run a risk mental process', 'project risk of exposure march', 'protrude endangerment physical process', 'picture take a chance cognitive process', 'image take chances litigate', 'see risk of exposure direction', 'task risk of exposure direction', 'externalize risk of exposure direction', 'jut out take chances management', 'propose run a risk direction', 'picture danger management', 'visualise jeopardy mastery', 'externalize jeopardy ascendancy', 'stick out take chances ascertain', 'projection danger see', 'externalize hazard ascendance', 'cast peril ascendency']"
11.1,PLAN RISK MANAGEMENT,"
plan risk management is the process of defining how to conduct risk management activities for a project the key
benefit of this process is that it ensures that the degree, type, and visibility of risk management are proportionate to both
risks and the importance of the project to the organization and other stakeholders this process is performed once or
at predefined points in the project: the inputs, tools and techniques, and outputs of the process are depicted in figure
11-2. figure 11-3 depicts the data flow diagram for the process
plan risk management
figure 11-2. plan risk management: inputs, tools & techniques, and outputs
401
23
sale
distribution;
for
not
figure 11-3. plan risk management: data flow diagram
the plan risk management process should begin when a project is conceived and should be completed early in the
project it may be necessary to revisit this process later in the project life cycle, for example at a major phase change, or
if the project scope changes significantly, or if a subsequent review of risk management effectiveness determines that
the project risk management process requires modification.",,"PMBOOKimgs/figure11-3, 11-2, 11-3.png","plan risk management be the process of define how to conduct risk management activity for a project the keybenefit of this process be that it ensure that the degree , type , and visibility of risk management be proportionate to bothrisk and the importance of the project to the organization and other stakeholder this process be perform once orat predefine point in the project the input , tool and technique , and output of the process be depict in figure112 . figure 113 depict the data flow diagram for the processplan risk managementfigure 112 . plan risk management input , tool technique , and outputs40123saledistributionfornotfigure 113 . plan risk management datum flow diagramthe plan risk management process should begin when a project be conceive and should be complete early in theproject it may be necessary to revisit this process later in the project life cycle , for example at a major phase change , orif the project scope change significantly , or if a subsequent review of risk management effectiveness determine thatthe project risk management process require modification .","['plan risk management be the process of define how to conduct risk management activity for a project the keybenefit of this process be that it ensure that the degree , type , and visibility of risk management be proportionate to bothrisk and the importance of the project to the organization and other stakeholder this process be perform once orat predefine point in the project the input , tool and technique , and output of the process be depict in figure112 .', 'figure 113 depict the data flow diagram for the processplan risk managementfigure 112 .', 'plan risk management input , tool technique , and outputs40123saledistributionfornotfigure 113 .', 'plan risk management datum flow diagramthe plan risk management process should begin when a project be conceive and should be complete early in theproject it may be necessary to revisit this process later in the project life cycle , for example at a major phase change , orif the project scope change significantly , or if a subsequent review of risk management effectiveness determine thatthe project risk management process require modification .']","['plan risk management', 'project risk management', 'risk management process', 'risk management activity', 'processplan risk managementfigure']","['program take chances direction', 'plan chance management', 'contrive risk of exposure management', 'be after endangerment management', 'architectural plan take a chance direction', 'contrive hazard direction', 'see risk of exposure direction', 'task risk of exposure direction', 'externalize risk of exposure direction', 'jut out take chances management', 'propose run a risk direction', 'picture danger management', 'chance direction cognitive operation', 'hazard direction cognitive operation', 'hazard direction litigate', 'risk management work', 'lay on the line management mental process', 'gamble direction serve', 'peril direction natural action', 'take a chance management natural process', 'risk of exposure management action', 'hazard direction bodily function', 'lay on the line direction bodily function', 'risk of exposure management activity']"
11.1.1,PLAN RISK MANAGEMENT: INPUTS,,,,,[],[],[]
11.1.1.1,PROJECT CHARTER,". the project charter documents the high-level project description and boundaries; high-
level requirements, and risks.
402
part 1
guide
6
sl
noe",4.1.3.1,,". the project charter document the highlevel project description and boundary highlevel requirement , and risks.402part 1guide6slnoe","['.', 'the project charter document the highlevel project description and boundary highlevel requirement , and risks.402part 1guide6slnoe']","['highlevel project description', 'highlevel project', 'highlevel requirement', 'charter document highlevel', 'boundary highlevel requirement']",[]
